date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
2020-01-05,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,39857144.0,-337.9,-3.84,-3.84,-8.792983
2020-01-06,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,39857144.0,,,,
2020-01-07,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,39857144.0,,,,
2020-01-08,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,39857144.0,,,,
2020-01-09,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,39857144.0,,,,
2020-01-10,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,39857144.0,,,,
2020-01-11,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,39857144.0,,,,
2020-01-12,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,39857144.0,-905.80005,-5.14,-6.45,-23.571129
2020-01-13,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,39857144.0,,,,
2020-01-14,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,39857144.0,,,,
2020-01-15,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,39857144.0,,,,
